id,cluster
q86D4CC,8
q42DC9B,18
q438D9A,16
q4E2C9E,1
q42C49E,1
q4C639E,13
q492196,3
q46A693,11
qF4D69F,1
qFE8390,20
qF51C92,1
qF4389C,11
q00399F,3
q047290,11
q09169B,3
q0B429D,14
q0E759D,6
q094195,13
q0D3499,7
q75BC9F,1
q7A809B,3
q749E9D,1
q71D495,1
q730999,8
q733999,7
q7B7296,13
qB1B49C,19
qB82499,5
qB9E099,13
qB0729E,3
qBF989E,7
q113694,3
q117990,9
q1E7690,9
q1EE697,12
q1F509A,13
q1AE29E,3
q2F049F,3
q2E2592,11
q29729D,14
q2ABB99,2
qD8BE94,8
qD35C94,3
qDAF891,9
qDE8999,1
qD1C396,6
q59F994,12
q5C069D,6
q5BFC9A,4
q508493,20
qA8B797,9
qA5BB91,5
qAC9F9C,3
qA51A98,11
qC74D94,11
qC13590,14
qCCCA97,6
qCACB9D,18
q947390,12
q9D2392,2
q936492,12
q93AE9E,8
qEB0F97,2
qE75D9A,13
q69E49F,6
q6ED692,3
q64EC9A,12
q674D9C,6
q613F9C,4
q31089F,3
q37859F,2
q309691,13
q3F1F92,8
q3BE49C,10
q354498,4
q84A09F,15
q829791,1
q80FA92,3
q83E395,4
q871293,1
q4905E4,4
q458FEF,6
q4C8BEB,2
q4307E9,0
qFA0BEF,0
qF9CAEB,12
qF748EC,15
q092CEF,2
q0A6EE0,3
q0BB6E7,8
q09D8E7,8
q0F96ED,1
q0031E9,1
q715EE4,4
q7D35EA,8
q76E6E9,12
q72CBE6,12
qB5E8E4,15
qBCA9E0,1
qB2AFEB,13
qB0CDE1,4
qBC27EC,14
qBEF9EE,11
qB6ECEE,12
qBD2AE6,4
q16EFE4,3
q1FB4EB,1
q1037E2,1
q104BEA,3
q2850E4,8
q234DE5,4
qD728E0,17
qD820E1,10
qDE77ED,3
qDD4AE3,8
q59EDE7,3
q5836E5,1
q55DDEC,2
q5ACCE3,13
q55C0E8,7
qA289E7,12
qA7B6EA,6
qA2D7E9,12
qC9BCEF,5
qC8CFE0,6
qCFFEED,3
qC0A0ED,3
qC50FE5,10
qC3A6E5,0
qCCB7EE,1
qC3CFE3,3
qC62EE8,0
q97F8EB,6
q93A3E1,4
q9445E9,4
q9D74E9,10
q9CB7E3,11
q9A25E3,19
qEAC2EF,2
qE97CE0,8
qECF2E7,8
qEA05E1,6
qE7D8E1,8
qE43CE2,2
qE8F3EC,12
qE80CE9,3
qE6BCE3,12
q6A94E2,2
q6B93ED,3
q6133E5,1
q6C24E3,13
q61CAE3,10
q36D7EF,12
